Timestamp,"PM1.0 (µg/m³)","PM2.5 (µg/m³)","PM4.0 (µg/m³)","PM10.0 (µg/m³)","Humidity (%)","Temperature (°C)"
27/03/2021 09:24:21,1.39,1.37,1.54,1.88,49.94,20.87
27/03/2021 09:24:23,1.7,1.6,1.78,2.15,52.36,21.19
27/03/2021 09:24:29,1.8,1.7,2.13,2.87,57.38,25.43
27/03/2021 09:24:31,1.98,2.1,2.88,3.18,51.41,15.05
27/03/2021 09:24:35,2.7,2.46,3.4,3.82,40.61,24.29
27/03/2021 09:24:37,2.38,2.21,2.54,3.26,58.62,20.33
27/03/2021 09:24:43,2.22,1.94,2.55,2.74,53.79,26.91
27/03/2021 09:24:45,1.78,1.48,1.89,2.66,53.53,16.39
27/03/2021 09:24:50,1.49,1.32,2.13,2.44,44.31,23.82
27/03/2021 09:24:51,1.98,1.69,2.45,2.82,53.18,22.21
27/03/2021 09:24:58,1.9,2.06,2.85,2.92,47.88,24.63
27/03/2021 09:24:59,2.39,2.55,3.13,3.85,53.02,15.97
27/03/2021 09:25:07,2.72,3.0,3.59,4.22,42.13,23.7
27/03/2021 09:25:15,3.11,3.28,3.8,4.35,53.16,23.42
27/03/2021 09:25:18,3.34,3.49,3.88,5.36,59.99,23.41
27/03/2021 09:25:21,2.85,3.02,3.93,4.05,40.96,24.05
27/03/2021 09:25:23,2.92,2.78,3.63,4.47,59.54,25.15
27/03/2021 09:25:26,3.08,3.22,4.24,4.59,48.14,27.07
27/03/2021 09:25:27,3.34,3.55,4.6,4.78,57.42,19.05
27/03/2021 09:25:34,3.89,4.02,4.81,5.71,55.65,27.38
27/03/2021 09:25:36,4.12,4.5,5.49,6.64,51.34,22.47
27/03/2021 09:25:38,4.78,4.86,6.01,6.98,54.77,16.16
27/03/2021 09:25:40,4.74,5.23,6.35,7.52,57.57,15.88
27/03/2021 09:25:43,5.34,5.38,6.09,7.59,48.08,20.01
27/03/2021 09:25:49,5.65,5.85,6.75,8.23,46.54,26.77
27/03/2021 09:25:56,5.71,6.23,6.94,8.86,53.35,25.62
27/03/2021 09:25:59,5.26,5.84,7.09,7.82,56.16,26.83
27/03/2021 09:26:05,6.07,6.29,7.34,8.62,55.25,22.76
27/03/2021 09:26:07,5.91,6.17,6.95,8.22,55.96,21.6
27/03/2021 09:26:13,6.35,6.65,7.79,9.53,48.71,17.21
27/03/2021 09:26:16,5.93,6.16,7.21,8.86,56.36,19.92
27/03/2021 09:26:20,5.86,6.47,7.37,8.45,42.4,21.51
27/03/2021 09:26:24,6.44,6.96,7.74,9.68,50.89,16.33
27/03/2021 09:26:30,6.44,7.09,8.27,10.05,40.12,18.31
27/03/2021 09:26:34,7.11,7.42,8.53,9.81,46.49,23.97
27/03/2021 09:26:39,7.3,7.76,9.08,10.6,47.33,26.03
27/03/2021 09:26:41,7.44,8.08,9.25,11.33,47.92,29.98
27/03/2021 09:26:47,7.68,8.5,9.95,11.08,53.91,29.0
27/03/2021 09:26:50,8.22,8.96,10.24,12.28,47.77,24.64
27/03/2021 09:26:55,8.07,8.79,10.06,11.69,48.97,21.32
27/03/2021 09:26:59,8.44,8.97,10.48,12.49,44.75,24.54
27/03/2021 09:27:04,8.76,9.38,10.6,13.07,47.47,26.78
27/03/2021 09:27:07,9.2,9.73,10.8,13.5,44.55,16.78
27/03/2021 09:27:10,8.8,9.51,10.48,12.79,41.46,21.15
27/03/2021 09:27:14,8.23,9.08,10.52,12.58,52.07,27.6
27/03/2021 09:27:16,8.27,8.79,10.1,12.19,53.36,20.76
27/03/2021 09:27:21,7.91,8.37,9.7,11.17,52.39,23.58
27/03/2021 09:27:25,7.36,7.87,8.81,10.98,49.27,23.82
27/03/2021 09:27:27,7.88,8.33,9.26,10.86,47.6,17.77
27/03/2021 09:27:30,8.0,8.61,9.48,11.73,57.27,20.43
27/03/2021 09:27:31,8.17,8.79,9.91,11.63,50.38,20.02
27/03/2021 09:27:33,8.33,9.02,10.33,11.83,49.58,15.39
27/03/2021 09:27:37,8.27,9.17,10.36,11.99,40.51,15.36
27/03/2021 09:27:42,8.14,8.99,10.2,12.31,46.82,27.48
27/03/2021 09:27:48,7.73,8.57,10.06,11.45,47.6,19.1
27/03/2021 09:27:49,7.8,8.31,9.38,11.46,47.98,22.77
27/03/2021 09:27:55,7.89,8.59,9.81,11.23,51.6,19.48
27/03/2021 09:27:56,7.56,8.12,9.48,10.84,50.67,29.11
27/03/2021 09:28:01,7.51,7.84,8.9,10.68,52.16,18.89
27/03/2021 09:28:09,6.84,7.46,8.64,10.41,55.3,21.44
27/03/2021 09:28:10,7.24,7.82,9.21,10.45,56.26,28.09
27/03/2021 09:28:13,7.85,8.3,9.79,11.35,54.36,27.63
27/03/2021 09:28:16,8.01,8.77,9.75,12.2,59.11,17.79
27/03/2021 09:28:19,8.11,8.97,10.52,12.22,40.36,27.04
27/03/2021 09:28:25,8.62,9.42,10.71,12.46,43.92,21.87
27/03/2021 09:28:26,8.23,9.06,10.15,11.8,40.15,22.24
27/03/2021 09:28:29,8.29,8.69,9.88,12.08,52.95,17.0
27/03/2021 09:28:33,7.91,8.34,9.86,10.86,57.96,16.21
27/03/2021 09:28:39,7.98,8.52,9.72,11.86,44.87,25.92
27/03/2021 09:28:41,8.27,8.71,9.81,11.8,58.54,22.45
27/03/2021 09:28:43,8.57,9.08,10.43,12.65,41.21,21.55
27/03/2021 09:28:49,7.99,8.77,9.82,12.12,58.69,25.94
27/03/2021 09:28:56,8.0,8.39,9.28,11.81,47.03,26.48
27/03/2021 09:28:59,7.41,7.93,8.81,10.62,42.03,17.38
27/03/2021 09:29:05,7.65,8.05,8.94,11.16,49.72,24.15
27/03/2021 09:29:08,8.03,8.42,9.37,11.31,45.14,17.03
27/03/2021 09:29:14,7.87,8.57,9.52,11.57,45.7,26.27
27/03/2021 09:29:15,7.98,8.81,10.14,12.02,46.15,24.85
27/03/2021 09:29:21,8.2,8.99,10.02,12.47,56.06,29.35
27/03/2021 09:29:25,8.41,9.11,10.26,12.73,50.78,16.03
27/03/2021 09:29:28,8.73,9.24,10.79,12.7,46.23,15.86
27/03/2021 09:29:33,8.61,9.09,10.33,12.19,52.21,19.23
27/03/2021 09:29:41,8.53,9.47,10.88,12.69,54.32,18.93
27/03/2021 09:29:47,8.48,9.14,10.17,12.55,45.45,18.7
27/03/2021 09:29:50,8.06,8.72,9.73,11.55,48.27,28.59
27/03/2021 09:29:56,7.78,8.52,9.4,11.18,42.44,18.74
27/03/2021 09:29:59,7.86,8.67,9.66,11.59,43.62,19.08
27/03/2021 09:30:04,8.08,8.79,9.86,11.69,53.62,26.39
27/03/2021 09:30:05,8.81,9.26,10.31,12.3,43.63,21.75
27/03/2021 09:30:12,8.9,9.71,10.74,12.83,50.5,26.65
27/03/2021 09:30:15,9.4,10.16,11.26,13.25,54.18,15.98
27/03/2021 09:30:20,9.77,10.47,11.84,13.63,42.14,22.31
27/03/2021 09:30:25,9.38,10.22,11.39,14.17,51.35,15.5
27/03/2021 09:30:31,9.29,9.78,11.01,13.1,45.13,15.94
27/03/2021 09:30:34,8.91,9.36,10.65,12.51,59.26,28.6
27/03/2021 09:30:38,8.99,9.85,11.32,13.42,49.67,17.09
27/03/2021 09:30:41,9.37,10.14,11.18,13.38,56.12,22.99
27/03/2021 09:30:49,9.42,10.3,11.89,14.24,51.0,21.17
27/03/2021 09:30:51,9.15,10.01,11.45,13.72,40.87,20.21
27/03/2021 09:30:59,8.8,9.76,10.79,12.77,52.66,28.5
27/03/2021 09:31:01,8.9,9.55,11.12,12.79,59.03,15.33
27/03/2021 09:31:10,9.09,9.82,11.45,13.56,52.03,24.96
27/03/2021 09:31:18,8.99,9.96,11.0,13.8,56.38,29.45
27/03/2021 09:31:21,8.69,9.5,10.64,12.77,57.68,23.4
27/03/2021 09:31:26,8.73,9.2,10.68,12.51,44.56,29.05
27/03/2021 09:31:29,7.97,8.72,10.12,11.49,44.24,15.78
27/03/2021 09:31:32,7.64,8.41,9.38,11.83,52.22,21.28
27/03/2021 09:31:39,7.57,8.14,9.1,10.79,48.22,18.9
27/03/2021 09:31:45,7.52,7.81,8.85,11.0,56.8,25.96
27/03/2021 09:31:52,7.06,7.71,8.82,10.61,58.0,29.72
27/03/2021 09:32:00,6.83,7.22,8.37,9.93,47.07,18.85
27/03/2021 09:32:05,6.55,6.86,7.8,9.38,44.74,24.81
27/03/2021 09:32:07,6.17,6.72,7.72,8.94,55.61,17.97
27/03/2021 09:32:10,6.86,7.22,8.47,9.54,45.5,23.48
27/03/2021 09:32:13,6.27,6.76,7.46,8.99,56.45,21.96
27/03/2021 09:32:14,5.98,6.29,7.1,8.34,48.47,29.58
27/03/2021 09:32:16,5.82,6.11,7.22,8.64,53.35,24.13
27/03/2021 09:32:22,6.05,6.42,7.69,8.66,41.91,20.24
27/03/2021 09:32:23,6.26,6.9,7.95,9.02,52.48,16.71
27/03/2021 09:32:25,6.53,6.79,7.84,9.7,49.04,17.27
27/03/2021 09:32:27,5.82,6.29,6.99,8.97,51.73,18.38
27/03/2021 09:32:30,5.59,6.11,7.03,8.78,43.36,18.76
27/03/2021 09:32:35,5.91,6.54,7.57,9.4,54.74,27.76
27/03/2021 09:32:40,6.49,6.88,7.74,9.1,57.26,23.42
27/03/2021 09:32:47,6.69,7.06,7.95,9.53,44.33,22.85
27/03/2021 09:32:52,6.52,7.23,8.22,10.08,41.91,16.72
27/03/2021 09:32:58,7.15,7.66,8.44,10.58,40.47,27.9
27/03/2021 09:33:00,7.16,7.83,8.84,10.32,52.84,25.84
27/03/2021 09:33:06,7.64,8.13,9.09,11.3,52.14,16.02
27/03/2021 09:33:13,7.08,7.77,8.78,10.3,50.93,25.62
27/03/2021 09:33:16,7.77,8.25,9.16,10.93,44.64,23.15
27/03/2021 09:33:40,7.77,8.42,9.89,11.43,47.82,16.23
27/03/2021 09:33:41,8.25,8.65,9.93,11.78,51.89,21.87
27/03/2021 09:33:43,8.26,9.1,10.49,12.35,49.94,22.27
27/03/2021 09:33:45,8.76,9.54,11.05,12.48,59.76,17.49
27/03/2021 09:33:47,9.05,9.99,11.34,13.78,42.73,29.19
27/03/2021 09:33:48,9.89,10.48,11.59,13.86,53.9,27.75
27/03/2021 09:33:56,9.44,10.0,11.38,13.12,48.09,25.04
27/03/2021 09:34:05,8.95,9.8,11.19,13.54,48.56,21.93
27/03/2021 09:34:06,9.54,10.23,11.77,14.16,54.35,21.18
27/03/2021 09:34:11,9.81,10.45,11.8,14.36,53.85,24.76
27/03/2021 09:34:12,9.93,10.73,11.89,14.68,59.83,23.18
27/03/2021 09:34:17,10.12,10.95,12.24,14.82,42.57,15.93
27/03/2021 09:34:21,10.25,11.25,12.63,15.12,42.08,22.69
27/03/2021 09:34:25,10.56,11.68,13.3,15.26,54.49,27.1
27/03/2021 09:34:26,10.52,11.19,12.71,14.91,51.57,21.89
27/03/2021 09:34:33,10.4,11.05,12.4,14.7,45.48,15.78
27/03/2021 09:34:34,10.13,10.9,12.68,14.4,41.59,26.79
27/03/2021 09:34:39,10.08,11.01,12.54,14.96,41.71,18.02
27/03/2021 09:34:46,10.33,11.28,12.57,15.11,57.88,18.88
27/03/2021 09:34:48,10.93,11.74,12.99,15.33,43.84,17.47
27/03/2021 09:34:53,10.59,11.27,12.5,14.85,46.47,19.95
27/03/2021 09:34:59,10.26,10.91,12.17,14.8,44.53,26.35
27/03/2021 09:35:02,9.79,10.45,11.61,13.65,47.1,22.79
27/03/2021 09:35:05,9.48,10.18,11.33,14.0,41.39,18.07
27/03/2021 09:35:10,8.93,9.87,11.06,13.28,50.38,28.17
27/03/2021 09:35:13,8.62,9.49,10.56,12.77,41.35,28.19
27/03/2021 09:35:20,8.61,9.07,10.6,12.32,56.01,28.06
27/03/2021 09:35:28,8.3,8.89,9.84,12.3,44.67,18.58
27/03/2021 09:35:29,8.23,9.14,10.42,12.2,50.8,21.77
27/03/2021 09:35:30,8.45,9.33,10.55,12.74,57.6,29.77
27/03/2021 09:35:35,9.08,9.72,11.38,13.15,53.02,26.58
27/03/2021 09:35:42,9.16,10.17,11.27,13.46,50.66,15.41
27/03/2021 09:35:49,9.43,10.39,11.71,14.3,46.49,15.98
27/03/2021 09:35:56,9.74,10.52,12.25,14.39,46.66,21.96
27/03/2021 09:35:59,10.07,10.8,12.49,14.63,53.39,28.64
27/03/2021 09:36:01,10.41,11.21,12.9,15.34,59.88,23.08
27/03/2021 09:36:02,9.97,10.95,12.23,15.02,53.24,22.47
27/03/2021 09:36:03,9.82,10.51,11.68,14.3,51.16,16.58
27/03/2021 09:36:05,9.13,10.01,11.48,13.77,54.61,24.85
27/03/2021 09:36:08,8.8,9.6,11.21,13.11,49.3,27.33
27/03/2021 09:36:09,8.79,9.35,10.67,12.77,41.2,20.71
27/03/2021 09:36:11,8.38,8.95,10.25,12.19,51.25,26.63
27/03/2021 09:36:13,8.83,9.34,10.47,12.82,59.15,29.47
27/03/2021 09:36:14,9.08,9.72,11.23,12.78,43.51,18.06
27/03/2021 09:36:16,8.74,9.4,10.47,13.01,53.8,22.85
27/03/2021 09:36:18,8.24,9.1,10.24,12.61,44.02,19.31
27/03/2021 09:36:21,7.93,8.61,9.77,11.22,50.72,26.89
27/03/2021 09:36:22,7.71,8.42,9.62,11.69,41.93,23.66
27/03/2021 09:36:25,7.92,8.67,9.71,11.39,49.01,24.52
27/03/2021 09:36:32,8.57,8.98,9.96,11.98,55.12,26.97
27/03/2021 09:36:39,8.13,8.82,10.13,12.14,46.95,20.94
27/03/2021 09:36:44,8.01,8.4,9.44,11.06,53.3,28.73
27/03/2021 09:36:49,7.47,7.95,9.15,11.07,55.91,23.0
27/03/2021 09:36:51,7.76,8.18,9.11,11.38,58.54,17.37
27/03/2021 09:36:52,7.98,8.59,9.79,11.62,44.69,25.44
27/03/2021 09:46:48,8.17,8.76,10.01,11.39,47.99,26.9
27/03/2021 09:46:54,7.97,8.58,9.47,11.41,43.05,19.75
27/03/2021 09:46:58,7.54,8.27,9.33,11.31,59.85,27.86
27/03/2021 09:47:01,8.02,8.51,9.46,11.95,58.54,28.59
27/03/2021 09:47:03,7.45,8.12,8.98,11.12,50.8,19.15
27/03/2021 09:47:04,6.91,7.66,9.12,10.19,56.84,29.75
27/03/2021 09:47:05,7.12,7.55,8.53,10.39,50.42,17.11
27/03/2021 09:47:08,7.22,7.92,9.28,10.78,52.47,18.03
27/03/2021 09:47:09,7.15,7.42,8.34,10.35,41.78,17.76
27/03/2021 09:47:11,6.87,7.1,8.29,9.33,55.11,28.41
27/03/2021 09:47:12,6.62,6.85,8.07,9.59,42.55,24.81
27/03/2021 09:47:15,6.46,6.97,8.08,9.55,56.52,17.28
27/03/2021 09:47:18,6.6,7.32,8.38,10.38,55.64,21.6
27/03/2021 09:47:20,6.67,6.9,7.88,9.28,54.17,24.23
27/03/2021 09:47:21,6.79,7.31,8.29,10.07,40.72,16.25
27/03/2021 09:47:24,7.48,7.77,9.2,10.94,46.06,28.24
27/03/2021 09:47:28,7.11,7.36,8.68,9.66,45.26,27.05
27/03/2021 09:47:34,7.18,7.5,8.93,10.59,47.2,22.58
27/03/2021 09:47:35,6.48,7.04,7.83,9.77,41.75,29.51
27/03/2021 09:47:42,6.36,6.85,8.05,8.97,58.74,21.27
27/03/2021 09:47:48,6.74,7.02,8.38,9.4,51.08,29.76
27/03/2021 09:47:52,6.88,7.47,8.34,10.35,46.11,25.02
27/03/2021 09:47:55,6.95,7.63,8.44,9.98,47.94,24.52
27/03/2021 09:48:01,7.47,7.99,9.31,10.91,48.94,17.49
27/03/2021 09:48:05,7.25,7.53,8.69,10.1,52.01,28.23
27/03/2021 09:48:07,6.72,7.08,8.38,9.76,50.31,21.41
27/03/2021 09:48:14,6.26,6.64,7.4,8.67,58.39,17.43
27/03/2021 09:48:21,5.9,6.5,7.71,9.23,49.94,15.19
27/03/2021 09:48:28,5.79,6.09,6.84,8.79,59.84,23.4
27/03/2021 09:48:30,6.3,6.45,7.21,9.26,57.03,22.91
27/03/2021 09:48:38,5.69,6.24,6.98,8.79,44.17,25.79
27/03/2021 09:48:39,6.29,6.7,7.94,8.83,58.61,28.35
27/03/2021 09:48:45,6.68,6.93,8.09,9.69,42.33,16.19
27/03/2021 09:48:52,6.77,7.11,8.19,9.27,56.35,25.97
27/03/2021 09:48:56,6.98,7.37,8.36,9.6,47.61,17.81
27/03/2021 09:48:58,6.87,7.24,8.58,9.7,57.56,27.87
27/03/2021 09:49:05,6.38,6.89,7.85,9.4,57.36,27.29
27/03/2021 09:49:06,6.06,6.57,7.8,9.23,56.12,23.11
27/03/2021 09:49:12,6.07,6.3,7.24,8.8,55.8,25.65
27/03/2021 09:49:19,6.27,6.52,7.44,8.88,46.09,19.72
27/03/2021 09:49:21,6.52,6.76,7.76,9.03,41.62,22.07
27/03/2021 09:49:27,6.83,7.08,8.0,10.1,48.06,27.32
27/03/2021 09:49:30,6.75,7.22,8.47,9.77,43.47,21.89
27/03/2021 09:49:36,6.87,7.36,8.45,9.97,53.9,20.37
27/03/2021 09:49:43,7.15,7.5,8.41,9.9,46.92,22.41
27/03/2021 09:49:44,6.9,7.31,8.67,10.22,59.51,27.42
27/03/2021 09:49:51,7.33,7.76,8.8,10.71,52.82,20.03
27/03/2021 09:49:53,7.77,8.19,9.39,10.85,56.45,17.61
27/03/2021 09:50:00,8.17,8.58,10.07,11.23,42.65,25.68
27/03/2021 09:50:01,8.15,8.87,10.19,12.14,57.24,27.39
27/03/2021 09:50:03,8.28,8.99,9.97,12.28,58.46,16.51
27/03/2021 09:50:08,8.43,9.31,10.9,12.35,49.74,18.6
27/03/2021 09:50:09,9.1,9.79,11.21,13.58,52.13,17.13
27/03/2021 09:50:12,9.05,10.04,11.28,13.19,55.3,20.22
27/03/2021 09:50:14,9.62,10.43,11.57,13.95,43.5,21.76
27/03/2021 09:50:17,10.04,10.85,12.49,14.95,50.05,26.23
27/03/2021 09:50:23,10.34,11.33,12.9,15.11,47.97,24.77
27/03/2021 09:50:25,10.94,11.83,13.39,15.95,42.93,24.31
27/03/2021 09:50:28,10.82,12.0,13.83,15.96,47.35,20.29
27/03/2021 09:50:30,10.82,12.0,13.75,15.85,41.36,27.62
27/03/2021 09:50:33,11.21,12.0,13.31,16.49,40.52,22.07
27/03/2021 09:50:36,10.98,12.0,13.42,15.97,42.7,29.69
27/03/2021 09:50:42,10.86,12.0,13.37,16.4,59.26,24.51
27/03/2021 09:50:48,10.93,11.85,13.56,15.61,50.99,16.89
27/03/2021 09:50:53,10.69,11.45,12.62,15.08,59.32,25.14
27/03/2021 09:51:00,10.1,11.1,12.61,14.46,48.65,19.88
27/03/2021 09:51:02,9.89,10.64,12.24,14.42,46.24,25.29
27/03/2021 09:51:09,9.34,10.33,11.98,13.76,50.12,16.04
27/03/2021 09:51:12,9.09,10.07,11.32,13.87,48.79,17.62
27/03/2021 09:51:19,9.09,9.8,11.35,13.17,42.11,27.84
27/03/2021 09:51:21,8.75,9.42,10.44,13.12,52.82,18.41
27/03/2021 09:51:28,9.1,9.76,11.33,12.85,44.32,27.56
27/03/2021 09:51:30,9.44,10.09,11.19,13.9,52.39,19.19
27/03/2021 09:51:37,9.78,10.33,11.64,14.13,53.0,24.64
27/03/2021 09:51:39,9.32,10.07,11.64,13.78,43.04,25.41
27/03/2021 09:51:46,8.79,9.59,10.65,13.23,41.23,22.69
27/03/2021 09:51:47,8.94,9.49,10.6,13.02,55.62,19.58
27/03/2021 09:51:54,8.42,9.21,10.64,12.54,49.2,18.19
27/03/2021 09:51:58,8.3,8.98,10.38,11.79,41.16,15.5
27/03/2021 09:52:05,7.83,8.66,9.97,11.29,59.9,19.56
27/03/2021 09:52:06,7.58,8.41,9.74,11.76,41.16,24.8
27/03/2021 09:52:13,7.64,7.95,9.12,10.89,53.9,29.07
27/03/2021 09:52:15,7.24,7.58,8.51,10.57,59.67,28.07
27/03/2021 09:52:21,7.49,7.94,8.98,10.76,44.78,26.49
27/03/2021 09:52:23,7.69,8.32,9.28,10.92,42.84,26.83
27/03/2021 09:52:26,7.42,8.15,9.6,10.71,42.43,24.97
27/03/2021 09:52:28,7.21,7.92,9.12,10.91,46.07,18.9
27/03/2021 09:52:30,6.86,7.48,8.51,10.11,42.02,28.61
27/03/2021 09:52:33,6.82,7.27,8.32,9.63,53.84,25.06
27/03/2021 09:52:36,6.75,7.1,8.47,9.67,41.25,23.41
27/03/2021 09:52:39,6.36,6.7,7.48,8.77,50.19,16.66
27/03/2021 09:52:40,5.85,6.35,7.4,8.78,59.93,21.71
27/03/2021 09:52:48,5.85,5.97,6.92,8.0,56.28,21.91
27/03/2021 09:52:54,5.85,6.09,7.13,8.63,52.3,27.97
27/03/2021 09:52:59,5.59,5.9,6.5,7.95,46.13,23.2
27/03/2021 09:53:00,5.71,6.01,7.22,8.22,52.48,20.71
27/03/2021 09:53:01,5.2,5.54,6.75,7.21,50.54,29.65
27/03/2021 09:53:02,5.37,5.83,6.81,7.64,48.52,16.66
27/03/2021 09:53:05,5.67,6.1,7.2,8.28,42.61,21.34
27/03/2021 09:53:07,5.97,6.21,7.48,8.5,57.73,15.63
27/03/2021 09:53:09,5.32,5.9,6.99,8.21,49.0,26.1
27/03/2021 09:53:13,4.97,5.46,6.11,7.36,43.89,28.77
27/03/2021 09:53:15,5.27,5.83,6.82,8.2,47.36,19.2
27/03/2021 09:53:17,5.45,6.03,7.06,8.61,48.28,27.88
27/03/2021 09:53:21,6.23,6.45,7.39,9.09,56.55,19.38
27/03/2021 09:53:23,6.56,6.9,8.11,9.01,54.67,28.66
27/03/2021 09:53:29,6.79,7.28,8.66,9.9,55.39,26.31
27/03/2021 09:53:32,6.2,6.84,8.17,8.99,40.22,27.07
27/03/2021 09:53:38,5.99,6.38,7.33,8.51,48.32,15.27
27/03/2021 09:53:40,6.09,6.5,7.23,9.34,49.63,29.44
27/03/2021 09:53:47,6.29,6.89,8.27,9.09,40.38,25.9
27/03/2021 09:53:51,6.63,7.13,8.43,9.72,45.2,19.57
27/03/2021 09:53:54,6.27,6.74,7.5,9.32,55.21,27.44
27/03/2021 09:53:56,6.54,6.93,8.27,9.64,42.74,19.22
27/03/2021 09:53:58,6.87,7.28,8.62,9.97,50.71,28.09
27/03/2021 09:54:00,6.12,6.78,7.82,8.82,44.3,16.69
27/03/2021 09:54:07,6.02,6.48,7.54,8.72,40.24,25.56
27/03/2021 09:54:10,6.24,6.59,7.53,9.03,44.82,23.11
27/03/2021 09:54:17,6.62,7.08,7.83,9.28,59.52,16.45
27/03/2021 09:54:19,7.23,7.56,8.55,10.14,56.03,18.63
27/03/2021 09:54:25,6.82,7.21,8.49,9.4,59.19,15.19
27/03/2021 09:54:28,6.15,6.74,7.42,8.83,49.76,22.03
27/03/2021 09:54:34,5.65,6.24,7.1,8.47,42.19,19.52
27/03/2021 09:54:37,5.56,5.82,6.68,7.69,50.96,23.98
27/03/2021 09:54:44,5.63,6.24,7.24,8.62,49.09,19.46
27/03/2021 09:54:45,6.21,6.57,7.87,9.16,56.89,19.5
27/03/2021 09:54:49,6.48,6.68,7.59,9.4,41.96,26.15
27/03/2021 09:54:53,6.16,6.52,7.41,8.66,49.76,15.72
27/03/2021 09:54:54,5.68,6.09,7.22,8.07,43.0,28.54
27/03/2021 09:54:56,5.68,5.95,6.86,7.83,46.49,27.78
27/03/2021 09:54:58,5.24,5.57,6.28,7.81,54.75,25.02
27/03/2021 09:55:03,5.02,5.28,6.12,7.5,49.52,23.9
27/03/2021 09:55:10,5.54,5.63,6.29,7.35,47.52,28.38
27/03/2021 09:55:11,5.46,5.85,6.56,8.45,47.89,17.78
27/03/2021 09:55:14,6.13,6.28,7.26,8.21,49.19,16.18
27/03/2021 09:55:18,5.76,5.9,6.78,8.16,55.7,18.59
27/03/2021 09:55:23,5.65,6.17,7.43,8.66,57.84,26.92
27/03/2021 09:55:25,5.36,5.92,6.77,8.48,59.11,15.52
27/03/2021 09:55:27,5.18,5.7,6.68,8.05,55.74,23.74
27/03/2021 09:55:29,4.9,5.43,6.42,7.78,46.31,29.93
27/03/2021 09:55:32,4.61,5.07,5.59,6.9,53.76,27.84
27/03/2021 09:55:33,4.63,4.77,5.71,6.93,48.75,22.82
